reference,titre,acheteur,type_acheteur,type_marche,procedure_source,procedure_consolidee,procedure_regime,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,conflit_coherence,motif_conflit
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,Ville de Croissy-sur-Seine,collectivite_territoriale,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-05-20 12:00:00,https://www.francemarches.com/appel-offre/36parisien1157695-2026-infogerance-systeme-information,36parisien1157695-2026-infogerance-systeme-information.html,non,
13/joue/002671162026,Mise à disposition et gestion du workplace IT,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,inconnu,services,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-05-19 16:00:00,https://www.francemarches.com/appel-offre/13joue002671162026-2026-mise-disposition-gestion,13joue002671162026-2026-mise-disposition-gestion.html,non,
13/joue/002708922026,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",UNICANCER ACHATS,inconnu,,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-05-18 12:00:00,https://www.francemarches.com/appel-offre/13joue002708922026-2026-fourniture-prestation-service,13joue002708922026-2026-fourniture-prestation-service.html,non,
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",EPPGHV,etablissement_public,services,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-01 14:00:00,https://www.francemarches.com/appel-offre/13joue002845752026-2026-marche-prestations-maintenance,13joue002845752026-2026-marche-prestations-maintenance.html,non,
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-09 12:00:00,https://www.francemarches.com/appel-offre/13joue002850982026-2026-accord-cadre-bons,13joue002850982026-2026-accord-cadre-bons.html,non,
13/joue/002925532026,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",Parlement Wallon,inconnu,,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-08 11:00:00,https://www.francemarches.com/appel-offre/13joue002925532026-2026-marche-public-relatif,13joue002925532026-2026-marche-public-relatif.html,non,
13/joue/002929142026,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,Conservatoire national des arts et métiers -Cnam,etablissement_public,services,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-05-28 12:00:00,https://www.francemarches.com/appel-offre/13joue002929142026-2026-accompagnement-convergence-systemes,13joue002929142026-2026-accompagnement-convergence-systemes.html,non,
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",Institut Français,etablissement_public,services,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-08 12:00:00,https://www.francemarches.com/appel-offre/13joue002939872026-2026-marche-pour-maintenance,13joue002939872026-2026-marche-pour-maintenance.html,non,
13/joue/002946202026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",Institut géographique national,etablissement_public,services,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-15 14:00:00,https://www.francemarches.com/appel-offre/13joue002946202026-2026-continuite-exploitation-hebergement,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,non,
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,fournitures,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-04 12:00:00,https://www.francemarches.com/appel-offre/13joue002946822026-2026-renouvellement-maintenance-serveurs,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,non,
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-10 19:00:00,https://www.francemarches.com/appel-offre/13joue003036002026-2026-accord-cadre-infrastructure,13joue003036002026-2026-accord-cadre-infrastructure.html,non,
13/joue/003085442026,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",Union des Groupements d'Achats Publics,etablissement_public,fournitures,FORMALISEE,JOUE_PROUVE,marches_ordinaires,,2026-06-29 14:00:00,https://www.francemarches.com/appel-offre/13joue003085442026-2026-fourniture-solutions-infrastructure,13joue003085442026-2026-fourniture-solutions-infrastructure.html,non,
13/joue/003107212026,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde \\\/ Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",Centre Hospitalier de l'Agglomération de Nevers,etablissement_public,fournitures,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-06-05 12:00:00,https://www.francemarches.com/appel-offre/13joue003107212026-2026-maintien-condition-operationnelle,13joue003107212026-2026-maintien-condition-operationnelle.html,non,
