Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type
13/joue/002671162026,Mise à disposition et gestion du workplace IT,-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,-,,-,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/267116-2026,BOAMP,new,13joue002671162026-2026-mise-disposition-gestion.html,oui,title: titre_pattern -> accepted score=80 value='Mise à disposition et gestion du workplace IT',-,-,-,BOAMP_XML
13/joue/002708922026,"fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés",-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-05-18 00:00:00,,2026-05-18 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/270892-2026,BOAMP,new,13joue002708922026-2026-fourniture-prestation-service.html,oui,"title: titre_pattern -> accepted score=85 value=""fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés""",-,-,-,BOAMP_XML
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV",-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/284575-2026,BOAMP,new,13joue002845752026-2026-marche-prestations-maintenance.html,oui,"title: titre_pattern -> accepted score=80 value=""MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV""",-,-,-,BOAMP_XML
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-09 00:00:00,,2026-06-09 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/285098-2026,BOAMP,new,13joue002850982026-2026-accord-cadre-bons.html,oui,"title: titre_pattern -> accepted score=85 value=""Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP""",-,-,-,BOAMP_XML
13/joue/002925532026,"Marché public relatif à la mise à disposition d’un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-08 00:00:00,,2026-06-08 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/292553-2026,BOAMP,new,13joue002925532026-2026-marche-public-relatif.html,oui,"title: titre_pattern -> accepted score=85 value='Marché public relatif à la mise à disposition d’un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes'",-,-,-,BOAMP_XML
13/joue/002929142026,Accompagnement à la convergence des systèmes d’information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,-,,-,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/292914-2026,BOAMP,new,13joue002929142026-2026-accompagnement-convergence-systemes.html,oui,title: titre_pattern -> accepted score=85 value='Accompagnement à la convergence des systèmes d’information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris',-,-,-,BOAMP_XML
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-08 00:00:00,,2026-06-08 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/293987-2026,BOAMP,new,13joue002939872026-2026-marche-pour-maintenance.html,oui,"title: titre_pattern -> accepted score=85 value=""Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement""",-,-,-,BOAMP_XML
13/joue/002946202026,La continuité,-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-15 00:00:00,,2026-06-15 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/294620-2026,BOAMP,new,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,oui,title: titre_pattern -> accepted score=50 value='La continuité',-,-,-,BOAMP_XML
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,2026-06-04 00:00:00,,2026-06-04 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/294682-2026,BOAMP,new,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,oui,title: titre_pattern -> accepted score=85 value='Renouvellement et maintenance des serveurs de sauvegarde et prestations associées',-,-,-,BOAMP_XML
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),-,-,-,-,,-,officiels de l’organisme acheteur public,,officiels de l’organisme acheteur public,officiels de l’organisme acheteur public,-,,-,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/303600-2026,BOAMP,new,13joue003036002026-2026-accord-cadre-infrastructure.html,oui,title: titre_pattern -> accepted score=85 value='Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure)',-,-,-,BOAMP_XML
