reference,reference_source,reference_consolidee,titre,acheteur_nom,acheteur_structure_juridique,acheteur_categorie_normee,acheteur_service_interne,lieu_ville,lieu_code_postal,lieu_pays,date_limite_remise_offres_iso,date_limite_remise_offres_brute,plateforme_nom,plateforme_url,type_marche_source,type_marche_consolide,type_marche_norme,procedure_source,procedure_consolidee,procedure_regime,allotissement_statut,nombre_lots,lot_numero,lot_titre,lot_objet,lot_description_technique_succincte,montant_global_valeur,montant_global_devise,montant_estime_valeur,montant_estime_devise,montant_maximum_valeur,montant_maximum_devise,montant_minimum_valeur,montant_minimum_devise,nature_marche,ccag_mentionne,ccag_principal,ccag_hypothese,ccag_mode_determination,niveau_preuve_ccag,criteres_selection,pieces_dce,conflits,motif_conflit,statut_verification,niveau_confiance,qualite_extraction,commentaire_controle
DGFiP-DRS-2500077,"DGFiP-DRS-25000477 (page 1), DGFiP-DRS-2500077 (page 4/header)",DGFiP-DRS-2500077,Assistance externe pour la conduite de consultations organisees dans le cadre des dispositions du code de la commande publique pour les marches de techniques de l'information et de la communication,Direction Generale des Finances Publiques,"Direction Generale des Finances Publiques - Service des Systemes d'Information, Departement des Ressources et du Support",Etat,Departement des Ressources et du Support (DRS),MONTREUIL Cedex,93186,France,2026-06-04T17:00:00+02:00,"04/06/2026, a 17H00",PLACE,https://www.marches-publics.gouv.fr,Prestations intellectuelles,prestations intellectuelles,prestations_intellectuelles,Appel d'offres ouvert passe en application des articles L.2124-2 et R.2161-2 a 5 du code de la commande publique,appel d'offres ouvert,droit_commun,non_alloti,0,,,,,,EUR,400000,EUR,1200000,EUR,0,EUR,accord_cadre_bc,false,,CCAG PI applicable car type 'Prestations intellectuelles',deduit_type_marche,deduit,non_precise,Reglement de la Consultation (RC) ; Cahier des Clauses Techniques Particulieres (CCTP) ; Cahier des Clauses Administratives Particulieres (CCAP) ; Engagement de discretion et de confidentialite simplifie ; Formulaire DC1 - Lettre de candidature ; Formulaire DC2 - Declaration du candidat ; Annexe financiere BPU ; Tableau Profils/Charges ; Scenario de commande ; Fiche Consignes signature electronique ; Cahier des clauses simplifiees de cybersécurite,oui,[reference] Reference incoherente entre page 1 (DGFiP-DRS-25000477) et page 4/header (DGFiP-DRS-2500077). Valeur retenue : DGFiP-DRS-2500077 (plus frequente dans le document).,partiellement_verifie,eleve,bonne,Reference du marche incoherente dans le document source mais resolue. Montants clairement identifies.
M_3530,M_3530,M_3530,Prestations de services informatiques pour le developpement et la maintenance des outils informatiques du GCS UniHA,GCS UniHA,Groupement de Cooperation Sanitaire (GCS) - Centrale d'achat,semi_public,Direction des systemes d'information,LYON,69003,France,2026-06-02T12:00:00+02:00,02/06/2026 a 12H,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono-attributaire pour partie a bons de commande et pour partie a marches subsequents,accord-cadre mono-attributaire mixte,accord_cadre_mixte,"Appel d'offres ouvert (articles L.2124-2, R.2124-2, R.2161-2 a R.2161-5 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,2,1,"Prestations de developpement informatique Webdev, Windev et autres technologies PCSOFT",Developpement et maintenance suite logicielle PAGE,"Suite logicielle PAGE - Technologies PCSOFT (Webdev, Windev)",,EUR,400000,EUR,400000,EUR,0,EUR,accord_cadre_mixte,false,,Probablement CCAG Prestations Intellectuelles vu objet developpement,non_precise,absent,Prix des prestations 40% | Valeur technique 60%,Reglement de la Consultation (RC) ; Annexe 1 - Declaration de sous-traitance ; Cahier des Clauses Administratives et Techniques Particulieres (CCATP) ; Bordereau des Prix Unitaires (BPU) ; Attestation sanctions operateurs russes,oui,[ccag] Reference technique 'M_3530' utilisee comme identifiant principal. CCAG non explicitement mentionne dans l'extrait du RC (probablement CCAG Prestations Intellectuelles).,verifie,eleve,excellente,Toutes les metadonnees essentielles extraites avec precision. Structure des lots clairement identifiee.
M_3530,M_3530,M_3530,Prestations de services informatiques pour le developpement et la maintenance des outils informatiques du GCS UniHA,GCS UniHA,Groupement de Cooperation Sanitaire (GCS) - Centrale d'achat,semi_public,Direction des systemes d'information,LYON,69003,France,2026-06-02T12:00:00+02:00,02/06/2026 a 12H,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono-attributaire pour partie a bons de commande et pour partie a marches subsequents,accord-cadre mono-attributaire mixte,accord_cadre_mixte,"Appel d'offres ouvert (articles L.2124-2, R.2124-2, R.2161-2 a R.2161-5 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,2,2,"Prestations de developpement informatique sur les technologies Open Source (PHP, SYMFONY, PYTHON) ainsi que les technologies IA et BlockChain",Developpement et maintenance portail Energie et solutions IA/Blockchain,Portail Energie - Technologies Open Source PHP/Symfony/Python + IA et Blockchain,,EUR,500000,EUR,500000,EUR,0,EUR,accord_cadre_mixte,false,,Probablement CCAG Prestations Intellectuelles vu objet developpement,non_precise,absent,Prix des prestations 40% | Valeur technique 60%,Reglement de la Consultation (RC) ; Annexe 1 - Declaration de sous-traitance ; Cahier des Clauses Administratives et Techniques Particulieres (CCATP) ; Bordereau des Prix Unitaires (BPU) ; Attestation sanctions operateurs russes,oui,[ccag] Reference technique 'M_3530' utilisee comme identifiant principal. CCAG non explicitement mentionne dans l'extrait du RC (probablement CCAG Prestations Intellectuelles).,verifie,eleve,excellente,Toutes les metadonnees essentielles extraites avec precision. Structure des lots clairement identifiee.
HADPSM260413,HADPSM260413,HADPSM260413,"Tierce maintenance applicative et evolutive, maintenance corrective et preventive pour des applications gerees au sein de la DPSM",BRGM,Bureau de Recherche en Geologie Miniere (EPIC),EPIC,DPSM (Departement Prevention et Securite Miniere),Orléans Cedex 02,45060,France,2026-06-05T12:00:00+02:00,05/06/2026 a 12h00,marches-publics.info,https://www.marches-publics.info,Accord-cadre a bons de commande sans minimum et avec maximum mono-attributaire de services,accord-cadre mono-attributaire,accord_cadre_bc,Appel d'offres ouvert (Article R2124-2 1° - Code de la commande publique),appel d'offres ouvert,droit_commun,non_alloti,0,,,,,,EUR,,EUR,,EUR,0,EUR,accord_cadre_bc,true,CCAG TIC,,mention_bibliographie,verifie,non_precise,Actes d'engagement ; CCTP ; CCAP ; BPU/DQE ; Scenarios annexe 1 et 2 ; Formulaire conflit d'interets,non,,verifie,eleve,bonne,CCAG identifie implicitement. Montants non publies mais structure claire.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,1,"Expertise, developpement et support technique en architecture logicielle et securite",AMO - Architecture et securite,Architecture logicielle et securite - Support technique expert,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,"Qualite technique (organisation, methodologie, pilotage) 40% | Competences et experiences des intervenants 20% | Prix 40%",Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,2,TMA des applications sous technologies Java,TMA Java,Tierce Maintenance Applicative applications Java,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,Qualite technique 60% | Prix 40%,Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,3,TMA des applications mobiles Unity,TMA Mobile Unity,Tierce Maintenance Applicative applications mobiles Unity,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,Qualite technique 60% | Prix 40%,Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,4,TMA des applications sous technologies PHP/Symfony,TMA PHP/Symfony,Tierce Maintenance Applicative applications PHP/Symfony,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,Qualite technique 60% | Prix 40%,Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,5,TMA des applications mobiles React Native,TMA Mobile React Native,Tierce Maintenance Applicative applications mobiles React Native,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,Qualite technique 60% | Prix 40%,Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
2026-22,2026-22,2026-22,"Assistance a maitrise d'œuvre : prestations d'expertise, de developpements informatiques et d'assistance technique",Institut Français du Cheval et de l'Equitation,Etablissement public national a caractere administratif (EPA),EPA,Departement des services informatiques,Arnac-Pompadour Cedex,19231,France,2026-06-04T12:00:00+02:00,Jeudi 4 juin 2026 a 12 heures,PLACE,https://www.marches-publics.gouv.fr,Accord-cadre mono/multi-attributaire a marches subsequents sans minimum et avec maximum,accord-cadre mixte,accord_cadre_mixte,"Appel d'offres ouvert dans le cadre d'une procedure europeenne (art. R2124-1, R2124-2, R2162-1 a R2162-14 du Code de la commande publique)",appel d'offres ouvert,droit_commun,alloti,6,6,TMA des modeles d'edition realises avec Hamonie Communication Suite (SEFAS),TMA SEFAS,Tierce Maintenance Applicative modeles edition SEFAS Hamonie Communication Suite,,EUR,,EUR,,EUR,0,EUR,accord_cadre_mixte,false,,Combinaison CCAG PI (lot 1 AMO) et CCAG TIC (lots 2-6 TMA) probable,non_precise,absent,Qualite technique 60% | Prix 40%,Acte d'engagement (ATTRI) et annexe financiere BPU/DQE ; CCAP ; CCTP ; DC4 ; DC1 ; DC2,oui,[ccag] CCAG non explicitement mentionne dans l'extrait. Type mixte AMO/TMA suggere une combinaison CCAG PI (lot 1) et CCAG TIC (lots 2-6) mais non confirme.,verifie,eleve,excellente,Structure 6 lots clairement identifiee. Montant et delais precis.
