reference,titre,acheteur,type_acheteur,fonction_publique,sous_type_fonction_publique,procedure_label,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification
13/joue/002671162026,Mise à disposition et gestion du workplace IT,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,inconnu,inconnue,,,formalisee,services,tic,19417458,19417458|72500000|42201315|42201390|22349470,,,,,,https://www.francemarches.com/appel-offre/13joue002671162026-2026-mise-disposition-gestion,canonical,13joue002671162026-2026-mise-disposition-gestion.html,FRANCE_MARCHES,false,,
13/joue/002708922026,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",UNICANCER ACHATS,inconnu,inconnue,,,formalisee,,prestations_intellectuelles,72200000,72200000|72316000|72212463|72310000|72322000,,,,,,https://www.francemarches.com/appel-offre/13joue002708922026-2026-fourniture-prestation-service,canonical,13joue002708922026-2026-fourniture-prestation-service.html,FRANCE_MARCHES,false,,
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",EPPGHV,etat,etat,,,formalisee,services,tic,72500000,72500000|72610000|72611000|72600000,,,,,,https://www.francemarches.com/appel-offre/13joue002845752026-2026-marche-prestations-maintenance,canonical,13joue002845752026-2026-marche-prestations-maintenance.html,FRANCE_MARCHES,false,,
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,,,formalisee,,,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,,,,,https://www.francemarches.com/appel-offre/13joue002850982026-2026-accord-cadre-bons,canonical,13joue002850982026-2026-accord-cadre-bons.html,FRANCE_MARCHES,false,,
13/joue/002925532026,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",Parlement Wallon,inconnu,inconnue,,,formalisee,,,72000000,72000000|81251380,,,,,,https://www.francemarches.com/appel-offre/13joue002925532026-2026-marche-public-relatif,canonical,13joue002925532026-2026-marche-public-relatif.html,FRANCE_MARCHES,false,,
13/joue/002929142026,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,Conservatoire national des arts et métiers -Cnam,inconnu,inconnue,,,formalisee,services,,72224000,72224000|72000000|72224100,,,,,,https://www.francemarches.com/appel-offre/13joue002929142026-2026-accompagnement-convergence-systemes,canonical,13joue002929142026-2026-accompagnement-convergence-systemes.html,FRANCE_MARCHES,false,,
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",Institut Français,inconnu,inconnue,,,formalisee,services,tic,72000000,72000000,,,,,,https://www.francemarches.com/appel-offre/13joue002939872026-2026-marche-pour-maintenance,canonical,13joue002939872026-2026-marche-pour-maintenance.html,FRANCE_MARCHES,false,,
13/joue/002946202026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",Institut géographique national,inconnu,inconnue,,,formalisee,services,tic,72000000,72000000|26298223|26298212,,,,,,https://www.francemarches.com/appel-offre/13joue002946202026-2026-continuite-exploitation-hebergement,canonical,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,FRANCE_MARCHES,false,,
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,,,formalisee,fournitures,,72250000,72250000,,,,,,https://www.francemarches.com/appel-offre/13joue002946822026-2026-renouvellement-maintenance-serveurs,canonical,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,false,,
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,inconnue,,,formalisee,,,72600000,72600000|72263000|48820000,,,,,,https://www.francemarches.com/appel-offre/13joue003036002026-2026-accord-cadre-infrastructure,canonical,13joue003036002026-2026-accord-cadre-infrastructure.html,FRANCE_MARCHES,false,,
