reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,type_marche,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,Ville de Croissy-sur-Seine,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,,2026-05-20 12:00:00,https://www.francemarches.com/appel-offre/36parisien1157695-2026-infogerance-systeme-information,36parisien1157695-2026-infogerance-systeme-information.html,FRANCE_MARCHES,,,Yvelines (78) - Croissy-sur-Seine,72600000,72600000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'infogérance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE,non,faible,,Structure France Marchés - pas de zones annexes
13/joue/002671162026,Mise à disposition et gestion du workplace IT,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,inconnu,hors_fonction_publique,formalisee,JOUE_PROUVE,services,,,2026-05-19 16:00:00,https://www.francemarches.com/appel-offre/13joue002671162026-2026-mise-disposition-gestion,13joue002671162026-2026-mise-disposition-gestion.html,FRANCE_MARCHES,96.0,3 reconduction(s) — Le lot 1 comporte trois reconductions. 3 reconductions tacites de 12 mois,Liège,19417458,19417458|72500000|42201315|42201390|22349470,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002708922026,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",UNICANCER ACHATS,inconnu,hors_fonction_publique,formalisee,JOUE_PROUVE,services,,,2026-05-18 12:00:00,https://www.francemarches.com/appel-offre/13joue002708922026-2026-fourniture-prestation-service,13joue002708922026-2026-fourniture-prestation-service.html,FRANCE_MARCHES,36.0,1 reconduction(s) — Une reconduction de 12 mois,Paris,72200000,72200000|72316000|72212463|72310000|72322000,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,CCAG prestations/services; titre contient 'fourniture'; titre contient 'service',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",EPPGHV,etablissement_public,etat,formalisee,JOUE_PROUVE,services,140000,,2026-06-01 14:00:00,https://www.francemarches.com/appel-offre/13joue002845752026-2026-marche-prestations-maintenance,13joue002845752026-2026-marche-prestations-maintenance.html,FRANCE_MARCHES,48.0,,Paris,72500000,72500000|72610000|72611000|72600000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,formalisee,JOUE_PROUVE,services,216000,,2026-06-09 12:00:00,https://www.francemarches.com/appel-offre/13joue002850982026-2026-accord-cadre-bons,13joue002850982026-2026-accord-cadre-bons.html,FRANCE_MARCHES,48.0,,Paris,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002925532026,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",Parlement Wallon,inconnu,hors_fonction_publique,formalisee,JOUE_PROUVE,indetermine,,,2026-06-08 11:00:00,https://www.francemarches.com/appel-offre/13joue002925532026-2026-marche-public-relatif,13joue002925532026-2026-marche-public-relatif.html,FRANCE_MARCHES,96.0,,,72000000,72000000|81251380,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002929142026,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,Conservatoire national des arts et métiers -Cnam,etablissement_public,etat,formalisee,JOUE_PROUVE,services,140000,,2026-05-28 12:00:00,https://www.francemarches.com/appel-offre/13joue002929142026-2026-accompagnement-convergence-systemes,13joue002929142026-2026-accompagnement-convergence-systemes.html,FRANCE_MARCHES,48.0,,Paris,72224000,72224000|72000000|72224100,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",Institut Français,etablissement_public,etat,formalisee,JOUE_PROUVE,services,140000,,2026-06-08 12:00:00,https://www.francemarches.com/appel-offre/13joue002939872026-2026-marche-pour-maintenance,13joue002939872026-2026-marche-pour-maintenance.html,FRANCE_MARCHES,48.0,,Paris,72000000,72000000,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002946202026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",Institut géographique national,etablissement_public,etat,formalisee,JOUE_PROUVE,services,140000,,2026-06-15 14:00:00,https://www.francemarches.com/appel-offre/13joue002946202026-2026-continuite-exploitation-hebergement,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,FRANCE_MARCHES,,,,72000000,72000000|26298223|26298212,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,formalisee,JOUE_PROUVE,services,,,2026-06-04 12:00:00,https://www.francemarches.com/appel-offre/13joue002946822026-2026-renouvellement-maintenance-serveurs,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,48.0,,Val-de-Marne,72250000,72250000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,fournitures,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
