reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification,typologie_marche_verifiee,seuil_formalise_applicable,categorie_acheteur_seuil,preuve_joue_detectee,source_preuve_joue,niveau_procedure_deduit,justification_juridique_courte,code_couleur_procedure
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,Ville de Croissy-sur-Seine,collectivite_territoriale,territoriale,MAPA,services,tic,72600000,72600000,Yvelines (78) - Croissy-sur-Seine,2026-05-20 12:00:00,,,,https://www.francemarches.com/appel-offre/36parisien1157695-2026-infogerance-systeme-information,canonical,36parisien1157695-2026-infogerance-systeme-information.html,FRANCE_MARCHES,False,,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
13/joue/002671162026,Mise à disposition et gestion du workplace IT,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,inconnu,hors_fonction_publique,formalisee,services,tic,19417458,19417458|72500000|42201315|42201390|22349470,Liège,2026-05-19 16:00:00,96.0,3 reconduction(s) — Le lot 1 comporte trois reconductions. 3 reconductions tacites de 12 mois,,https://www.francemarches.com/appel-offre/13joue002671162026-2026-mise-disposition-gestion,canonical,13joue002671162026-2026-mise-disposition-gestion.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002708922026,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",UNICANCER ACHATS,inconnu,hors_fonction_publique,formalisee,,prestations_intellectuelles,72200000,72200000|72316000|72212463|72310000|72322000,Paris,2026-05-18 12:00:00,36.0,1 reconduction(s) — Une reconduction de 12 mois,,https://www.francemarches.com/appel-offre/13joue002708922026-2026-fourniture-prestation-service,canonical,13joue002708922026-2026-fourniture-prestation-service.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002845752026,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",EPPGHV,etablissement_public,etat,formalisee,services,tic,72500000,72500000|72610000|72611000|72600000,Paris,2026-06-01 14:00:00,48.0,,,https://www.francemarches.com/appel-offre/13joue002845752026-2026-marche-prestations-maintenance,canonical,13joue002845752026-2026-marche-prestations-maintenance.html,FRANCE_MARCHES,False,,,services,140000,autorite_publique_centrale,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002850982026,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,formalisee,,,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,Paris,2026-06-09 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/13joue002850982026-2026-accord-cadre-bons,canonical,13joue002850982026-2026-accord-cadre-bons.html,FRANCE_MARCHES,True,ccag_type_manquant,,fournitures,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002925532026,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",Parlement Wallon,inconnu,hors_fonction_publique,formalisee,,,72000000,72000000|81251380,,2026-06-08 11:00:00,96.0,,,https://www.francemarches.com/appel-offre/13joue002925532026-2026-marche-public-relatif,canonical,13joue002925532026-2026-marche-public-relatif.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,indetermine,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,INDETERMINE,Typologie du marche insuffisamment etablie pour appliquer le seuil pertinent.,INDETERMINE
13/joue/002929142026,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,Conservatoire national des arts et métiers -Cnam,etablissement_public,etat,formalisee,services,,72224000,72224000|72000000|72224100,Paris,2026-05-28 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/13joue002929142026-2026-accompagnement-convergence-systemes,canonical,13joue002929142026-2026-accompagnement-convergence-systemes.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,services,140000,autorite_publique_centrale,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002939872026,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",Institut Français,etablissement_public,etat,formalisee,services,tic,72000000,72000000,Paris,2026-06-08 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/13joue002939872026-2026-marche-pour-maintenance,canonical,13joue002939872026-2026-marche-pour-maintenance.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,services,140000,autorite_publique_centrale,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002946202026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",Institut géographique national,etablissement_public,etat,formalisee,services,tic,72000000,72000000|26298223|26298212,,2026-06-15 14:00:00,,,,https://www.francemarches.com/appel-offre/13joue002946202026-2026-continuite-exploitation-hebergement,canonical,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,services,140000,autorite_publique_centrale,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/002946822026,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,formalisee,fournitures,,72250000,72250000,Val-de-Marne,2026-06-04 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/13joue002946822026-2026-renouvellement-maintenance-serveurs,canonical,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,fournitures,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
