Acheteur_auto,Acheteur_clean,Acheteur_manual,Colonne 1,Colonne 2,Column 29,Date limite de remise des offres,Date_limite_auto,Date_limite_manual,Durée initiale du marché,Estimation (devise),Estimation du marché,Estimation_auto,Estimation_manual,Fonction publique,Intitulé synthétique,Localisation,Localisation_auto,Localisation_clean,Localisation_manual,Plateforme,Reconduction(s),Référence,Type,Type d'AO,URL source HTTPS,annonce_numero,conflits_detectes,cpv_principal,cpv_supplementaires,criteres_attribution,departements_publication,duree_reelle,extraction_notes,lots_detail,match_source,match_status,niveau_confiance,nombre_lots,options_reconduction,review_needed,source_type
RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,,-,-,-,-,-,,-,EUR,-,-,,-,Mise à disposition et gestion du workplace IT,-,-,-,,France Marchés,-,13/joue/002671162026,-,-,-,,"References multiples: {'PPP1E2-3001/6300/2026031-S', '2026031-S_1', '2026031-S_2'}",72500000,"72500000, 72500000",et pondérations seront mentionnés ultérieurement dans le cahier des charges,,estimée,[2026-05-16 02:10:38] title: weborama_from_3 → 'Mise à disposition et gestion du workplace IT'; [2026-05-16 02:10:38] Extraction réussie (completude: 100%),,13joue002671162026-2026-mise-disposition-gestion.html,new,faible,0,,,FRANCE_MARCHES
UNICANCER ACHATS,UNICANCER ACHATS,,-,-,-,-,-,,-,EUR,-,-,,-,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.",-,-,-,,France Marchés,-,13/joue/002708922026,-,-,-,,"References multiples: {""Gestion des activités de Biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM"", 'UNICANCER/2026/RD029', 'Gestion globale des activités data management'}",72200000,"72316000, 72200000, 72316000, 72200000, 72316000",,,estimée,[2026-05-16 02:10:38] title: weborama_from_3 → 'Fourniture d'une prestation de service relative à ...'; [2026-05-16 02:10:38] Extraction réussie (completude: 100%),,13joue002708922026-2026-fourniture-prestation-service.html,new,faible,0,,,FRANCE_MARCHES
EPPGHV,EPPGHV,,-,-,-,-,-,,-,EUR,-,-,,-,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.",-,-,-,,France Marchés,-,13/joue/002845752026,-,-,-,,,72500000,"72610000, 72500000, 72610000",,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue002845752026-2026-marche-prestations-maintenance.html,new,,0,"Offre de base : le marché est conclu pour 1 an ferme, reconduit tacitement trois (3) fois pour une durée d’un an (1) sans que sa durée totale n'excède quatre (4) ans. Offre variante exigée : le marché est conclu pour une durée ferme de 48 mois.",,FRANCE_MARCHES
VILLE de PARIS - DFA - SDA,VILLE de PARIS - DFA - SDA,,-,-,-,-,-,,-,EUR,-,-,,-,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,-,-,,France Marchés,-,13/joue/002850982026,-,-,-,,"References multiples: {'0', '2600517'}",72250000,72250000,,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Accord-cadre à bons de commande pour le maintien e...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue002850982026-2026-accord-cadre-bons.html,new,faible,0,,,FRANCE_MARCHES
Parlement Wallon,Parlement Wallon,,-,-,-,-,-,,-,EUR,-,-,,-,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes",-,-,-,,France Marchés,-,13/joue/002925532026,-,-,-,,"References multiples: {'PW-KG/26-010', '1'}",72000000,72000000,,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Marché public relatif à la mise à disposition d'un...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue002925532026-2026-marche-public-relatif.html,new,faible,0,,,FRANCE_MARCHES
Conservatoire national des arts et métiers -Cnam,Conservatoire national des arts et métiers -Cnam,,-,-,-,-,-,,-,EUR,-,-,,-,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,-,-,-,,France Marchés,-,13/joue/002929142026,-,-,-,,,72224000,"72000000, 72224000, 72000000",,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Accompagnement à la convergence des systèmes d'inf...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue002929142026-2026-accompagnement-convergence-systemes.html,new,,0,,,FRANCE_MARCHES
Institut Français,Institut Français,,-,-,-,-,-,,-,EUR,-,-,,-,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement",-,-,-,,France Marchés,-,13/joue/002939872026,-,-,-,,"References multiples: {'2025/DARC/03', '2026/DARC/03'}",72000000,72000000,,,estimée,"[2026-05-16 02:10:39] title: weborama_from_3 → 'Marché pour la maintenance applicative, corrective...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%)",,13joue002939872026-2026-marche-pour-maintenance.html,new,faible,0,,,FRANCE_MARCHES
Institut géographique national,Institut géographique national,,-,-,-,-,-,,-,EUR,-,-,,-,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",-,-,-,,France Marchés,-,13/joue/002946202026,-,-,-,,"References multiples: {'PM BROKER 26-15', '1'}",72000000,72000000,,,estimée,"[2026-05-16 02:10:39] title: weborama_from_3 → 'La continuité, l'exploitation, l'hébergement, la m...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%)",,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,new,faible,0,,,FRANCE_MARCHES
SICIO,SICIO,,-,-,-,-,-,,-,EUR,-,-,,-,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,-,-,,France Marchés,-,13/joue/002946822026,-,-,-,,"References multiples: {'2026M01 LOT 1', '2026M01 LOT 2'}",72250000,"72250000, 72250000",,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,new,faible,0,,,FRANCE_MARCHES
Compagnie Nationale du Rhône,Compagnie Nationale du Rhône,,-,-,-,-,-,,-,EUR,-,-,,-,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),-,-,-,,France Marchés,-,13/joue/003036002026,-,-,-,,,72600000,"72263000, 72600000, 72263000",,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Accord-cadre Infrastructure hyperconvergée et VDI ...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue003036002026-2026-accord-cadre-infrastructure.html,new,,0,,,FRANCE_MARCHES
Union des Groupements d'Achats Publics,Union des Groupements d'Achats Publics,,-,-,-,-,-,,-,EUR,-,-,,-,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",-,-,-,,France Marchés,-,13/joue/003085442026,-,-,-,,"References multiples: {'4', '2', '5', '8', '7', '3', '6', '25U018', '1'}",48822000,"48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000, 48822000",,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Fourniture de solutions d'infrastructure informati...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue003085442026-2026-fourniture-solutions-infrastructure.html,new,faible,0,,,FRANCE_MARCHES
Centre Hospitalier de l'Agglomération de Nevers,Centre Hospitalier de l'Agglomération de Nevers,,-,-,-,-,-,,-,EUR,-,-,,-,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde \\\/ Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",-,-,-,,France Marchés,-,13/joue/003107212026,-,-,-,,"References multiples: {'2026-30', '0'}",72500000,72500000,,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Maintien en Condition Opérationnelle de l'Infrastr...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue003107212026-2026-maintien-condition-operationnelle.html,new,faible,0,,,FRANCE_MARCHES
Institut géographique national,Institut géographique national,,-,-,-,-,-,,-,EUR,-,-,,-,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",-,-,-,,France Marchés,-,13/joue/003228322026,-,-,-,,"References multiples: {'PM BROKER 26-15', '1'}",72000000,72000000,,,estimée,"[2026-05-16 02:10:39] title: weborama_from_3 → 'La continuité, l'exploitation, l'hébergement, la m...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%)",,13joue003228322026-2026-continuite-exploitation-hebergement?q=72200000.html,new,faible,0,,,FRANCE_MARCHES
COMMISSARIAT A L'ENERGIE ATOMIQUE,COMMISSARIAT A L'ENERGIE ATOMIQUE,,-,-,-,-,-,,-,EUR,-,-,,-,Prestations de Tierce Maintenance Applicative des Logiciels Systèmes Energétiques du LITEN,-,-,-,,France Marchés,-,13/joue/003237302026,-,-,-,,,72500000,72250000,,,estimée,[2026-05-16 02:10:39] title: weborama_from_3 → 'Prestations de Tierce Maintenance Applicative des ...'; [2026-05-16 02:10:39] Extraction réussie (completude: 100%),,13joue003237302026-2026-prestations-tierce-maintenance?q=72200000.html,new,,0,,,FRANCE_MARCHES
2026-04,2026-04,,-,-,-,-,-,,-,EUR,-,-,,-,PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL,-,-,-,,France Marchés,-,13/joue/003241312026,-,-,-,,,72000000,"72250000, 72000000, 72250000",,,estimée,[2026-05-16 02:10:40] title: weborama_from_3 → 'PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL'; [2026-05-16 02:10:40] Extraction réussie (completude: 100%),,13joue003241312026-2026-prestations-support-maintenance?q=72200000.html,new,,0,"Le marché est conclu pour une période de 12 mois à compter de sa date de notification. A la date anniversaire du marché, la durée pourra être reconduit tacitement 03 fois pour une durée de 12 mois, soit une durée totale de 48 mois.",,FRANCE_MARCHES
DSI - Direction des systèmes d information,DSI - Direction des systèmes d information,,-,-,-,-,-,,-,EUR,-,-,,-,Accompagnement à l extension de l ITSM de la DSI,-,-,-,,France Marchés,-,13/joue/003272002026,-,-,-,,,72000000,72000000,,,estimée,[2026-05-16 02:10:40] title: weborama_from_3 → 'Accompagnement à l extension de l ITSM de la DSI'; [2026-05-16 02:10:40] Extraction réussie (completude: 100%),,13joue003272002026-2026-accompagnement-extension-itsm?q=72200000.html,new,,0,,,FRANCE_MARCHES
BANQUE DE FRANCE - Direction des Achats,BANQUE DE FRANCE - Direction des Achats,,-,-,-,-,-,,-,EUR,-,-,,-,HISI V2 - Hébergement et infogérance des sites internet,-,-,-,,France Marchés,-,13/joue/003278382026,-,-,-,,,72400000,72400000,,,estimée,[2026-05-16 02:10:40] title: weborama_from_3 → 'HISI V2 - Hébergement et infogérance des sites int...'; [2026-05-16 02:10:40] Extraction réussie (completude: 100%),,13joue003278382026-2026-hisi-hebergement-infogerance?q=72200000.html,new,,0,Le marché a une durée ferme de 48 mois avec quatre possibilités de reconduction de 12 mois chacune.,,FRANCE_MARCHES
Département de la Vendée,Département de la Vendée,,-,-,-,-,-,,-,EUR,-,-,,-,"Maintenance, hébergement et développements des sites et applicatifs web du Département de la Vendée",-,-,-,,France Marchés,-,13/joue/003293162026,-,-,-,,"References multiples: {'2026CG-A0019', '2', '1'}",72400000,"72400000, 72400000, 72413000, 72400000, 72415000",,,estimée,"[2026-05-16 02:10:40] title: weborama_from_3 → 'Maintenance, hébergement et développements des sit...'; [2026-05-16 02:10:40] Extraction réussie (completude: 100%)",,13joue003293162026-2026-maintenance-hebergement-developpements?q=72200000.html,new,faible,0,,,FRANCE_MARCHES
