Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure
PPP1E2-3001/6300/2026031-S,Mise à disposition et gestion du workplace IT Enregistrer cet appel d’offre Localisation : Liège Date de clotûre,-,-,-,"Conseil d'Etat Numéro d’enregistrement : BE 0931814266 Adresse postale : rue de la Science, 33 Ville : BRUXELLES Code postal : 1040 Subdivision pays (NUTS) : Arr",,"Conseil d'Etat Numéro d’enregistrement : BE 0931814266 Adresse postale : rue de la Science, 33 Ville : BRUXELLES Code postal : 1040 Subdivision pays (NUTS) : Arr",J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,-,,-,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue002671162026-2026-mise-disposition-gestion.html,,"title: editorial_header -> accepted score=70 value='Mise à disposition et gestion du workplace IT Enregistrer cet appel d’offre Localisation : Liège Date de clotûre'; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=50 value='RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale'; buyer: nom_officiel_collectivite -> accepted score=70 value=""Conseil d'Etat Numéro d’enregistrement : BE 0931814266 Adresse postale : rue de la Science, 33 Ville : BRUXELLES Code postal : 1040 Subdivision pays (NUTS) : Arr""",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
UNICANCER/2026/RD029,Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès… Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre,-,-,-,UNICANCER ACHATS Numéro d’enregistrement : 31455913900014 Adresse postale : 101 rue de Tolbiac Ville : Paris Code postal : 75013 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : s-elhimdi@unicancer,,UNICANCER ACHATS Numéro d’enregistrement : 31455913900014 Adresse postale : 101 rue de Tolbiac Ville : Paris Code postal : 75013 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : s-elhimdi@unicancer,J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,2026-05-18 12:00:00,,2026-05-18 12:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue002708922026-2026-fourniture-prestation-service.html,,"title: editorial_header -> accepted score=70 value=""Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès… Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=45 value='UNICANCER ACHATS'; buyer: nom_officiel_collectivite -> accepted score=70 value='UNICANCER ACHATS Numéro d’enregistrement : 31455913900014 Adresse postale : 101 rue de Tolbiac Ville : Paris Code postal : 75013 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : s-elhimdi@unicancer'",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue002845752026-2026-marche-prestations-maintenance,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,62000000.0,,62000000.0,-,BOAMP,new,13joue002845752026-2026-marche-prestations-maintenance.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue002850982026-2026-accord-cadre-bons,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,13joue002850982026-2026-accord-cadre-bons.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
PW-KG/26-010,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes Enregistrer cet appel d’offre Localisation : Date de clotûre",-,-,-,Parlement Wallon Numéro d’enregistrement : 0931814167_2538 Adresse postale : Square Arthur Masson n°6 Ville : Namur Code postal : 5000 Subdivision pays (NUTS) : Arr,,Parlement Wallon Numéro d’enregistrement : 0931814167_2538 Adresse postale : Square Arthur Masson n°6 Ville : Namur Code postal : 5000 Subdivision pays (NUTS) : Arr,J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,2026-06-08 11:00:00,,2026-06-08 11:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue002925532026-2026-marche-public-relatif.html,,"title: editorial_header -> accepted score=70 value=""Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes Enregistrer cet appel d’offre Localisation : Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=45 value='Parlement Wallon'; buyer: nom_officiel_collectivite -> accepted score=70 value='Parlement Wallon Numéro d’enregistrement : 0931814167_2538 Adresse postale : Square Arthur Masson n°6 Ville : Namur Code postal : 5000 Subdivision pays (NUTS) : Arr'",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue002929142026-2026-accompagnement-convergence-systemes,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,40000000.0,,40000000.0,-,BOAMP,new,13joue002929142026-2026-accompagnement-convergence-systemes.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2026/DARC/03,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre",-,-,-,Institut Français Numéro d’enregistrement : 52971592200025 Adresse postale : 40 rue de la folie regnault Ville : Paris Code postal : 75015 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : maria,,Institut Français Numéro d’enregistrement : 52971592200025 Adresse postale : 40 rue de la folie regnault Ville : Paris Code postal : 75015 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : maria,J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,2026-06-08 12:00:00,,2026-06-08 12:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue002939872026-2026-marche-pour-maintenance.html,,"title: editorial_header -> accepted score=70 value=""Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=45 value='Institut Français'; buyer: nom_officiel_collectivite -> accepted score=70 value='Institut Français Numéro d’enregistrement : 52971592200025 Adresse postale : 40 rue de la folie regnault Ville : Paris Code postal : 75015 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Adresse électronique : maria'",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
PM BROKER 26-15,"La continuité, l'exploitation, l'hébergement , la maintenance et le développement de la plateforme de notification eTOD Enregistrer cet appel d’offre Localisation : Date de clotûre",-,-,-,Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr,,Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr,J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,2026-06-15 14:00:00,,2026-06-15 14:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue002946202026-2026-continuite-exploitation-hebergement?q=h%C3%A9bergement web.html,,"title: editorial_header -> accepted score=70 value=""La continuité, l'exploitation, l'hébergement , la maintenance et le développement de la plateforme de notification eTOD Enregistrer cet appel d’offre Localisation : Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=50 value='Institut géographique national'; buyer: nom_officiel_collectivite -> accepted score=70 value='Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr'",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue002946822026-2026-renouvellement-maintenance-serveurs,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,102500000.0,,102500000.0,-,BOAMP,new,13joue002946822026-2026-renouvellement-maintenance-serveurs.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
DDA 26-022,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure) Enregistrer cet appel d’offre Localisation : Rhône (69) - Lyon Date de clotûre,-,-,-,Compagnie Nationale du Rhône,,Compagnie Nationale du Rhône,Direction des Achats,,Direction des Achats,Direction des Achats,-,,-,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue003036002026-2026-accord-cadre-infrastructure.html,,title: editorial_header -> accepted score=70 value='Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure) Enregistrer cet appel d’offre Localisation : Rhône (69) - Lyon Date de clotûre'; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=50 value='Compagnie Nationale du Rhône'; buyer: nom_officiel_collectivite -> rejected score=70 value='Compagnie Nationale du Rhône Numéro d’enregistrement : 957 520 901 Département : Direction des Achats Adresse postale : 2 Rue André Bonin Ville : Lyon Code postal : 69004 Subdivision pays (NUTS) : Rhône ( FRK26 ) Pays : France Point de contact : Olivia Champiot Adresse électronique : olivia-externe' reason=generic_contains_buyer,-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
