Critère,DGFiP-DRS-2500077,M_3530,HADPSM260413,2026-22,2026MDAF0063,2026/DARC/N°03,2026A0239,DAF_2026_000243,B26-01107-LS,MS26084,2026-04,2600006,260424,26910A,26A0133001,2026-CHATBOT,2026-0206-WEB
Référence,DGFiP-DRS-2500077,M_3530,HADPSM260413,2026-22,2026MDAF0063,2026/DARC/N°03,2026A0239,DAF_2026_000243,B26-01107-LS,MS26084,2026-04,2600006,260424,26910A,26A0133001,2026-CHATBOT,2026-0206-WEB
Acheteur,Direction Generale des Finances Publiques,GCS UniHA,BRGM,Institut Français du Cheval et de l'Equitation,Etablissement Public du Parc et de la Grande Halle de la Villette,Institut Français,Région Grand Est,Banque de France,CEA - Commissariat à l'Énergie Atomique et aux Énergies Alternatives - Liten,SYANE - Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie,....................................................................... 5 4.2 Contenu ..............,....................................................................................................,à l’adresse mentionnée en page de garde. Ce mode de transmission est obligatoire pour l’ensemble des,L’Euro-Métropole de Metz EMM - DGA STEN - DIR SI - SYSTEMES D'INFORMATION Représentant : François GR,) Contact service chargé de la passation Conseil régional Auvergne-Rhône-Alpes pi_tic.achats@auvergn,PUBLIC 2 CONTENU DU DOSSIER DE CONSULTATION 2.1 Contenu des documents de la consultation 2.2 Demande,Département de la Vendée 40 rue du Maréchal Foch 85923 LA ROCHE-SUR-YON Cedex 9 Dossier suivi par :
Struct. jur.,"Direction Generale des Finances Publiques - Service des Systemes d'Information, Departement des Ressources et du Support",Groupement de Cooperation Sanitaire (GCS) - Centrale d'achat,Bureau de Recherche en Geologie Miniere (EPIC),Etablissement public national a caractere administratif (EPA),Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV) - EPIC,Etablissement public a caractere administratif,Collectivité territoriale - Région,Établissement public national - Institution nationale indépendante,Établissement public à caractère industriel et commercial (EPIC),Syndicat mixte,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
Lieu,"10, rue Auguste Blanqui 93186 MONTREUIL Cedex",83 Boulevard Marius Vivier Merle 69003 LYON,3 Avenue Claude Guillemin 45060 Orléans Cedex 02,Route de Troche – BP 6 19231 Arnac-Pompadour Cedex,211 avenue Jean-Jaurès 75935 Paris cedex 19,40 rue de la Folie-Régnault 75011 Paris,Région Grand Est,08-1196 Service des Achats Informatiques 75049 Paris,17 avenue des Martyrs 38054 Grenoble,Non précisé Haute-Savoie,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
DLRO,04/06/2026 17:00,02/06/2026 12:00,05/06/2026 12:00,04/06/2026 12:00,01/06/2026 14:00,08/06/2026 12:00,18/06/2026 12:00,15/06/2026 12:00,10/06/2026 16:00,11/06/2026 12:00,17/06/2026 12:00,24/06/2026 12:00,04/06/2026 12:00,08/06/2026 12:00,16/06/2026 12:00,27/04/2016 12:00,12/06/2026 12:00
Plateforme,PLACE,PLACE,marches-publics.info,PLACE,PLACE,e-marchespublics.com,marchespublics.grandest.fr,Safetender - Profil acheteur Banque de France,PLACE,marches-publics.info,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
Type marché,prestations intellectuelles,accord-cadre mono-attributaire mixte,accord-cadre mono-attributaire,accord-cadre mixte,marche composite,services informatiques,services,accord-cadre à bons de commande mono-attributaire,marché à tranches,accord-cadre à bons de commande,services,services,services,services,services,services,services
Proc.,appel d'offres ouvert,appel d'offres ouvert,appel d'offres ouvert,appel d'offres ouvert,appel d'offres ouvert,appel d'offres ouvert,appel d'offres ouvert,procédure avec négociation,appel d'offres ouvert,procédure avec négociation,accord-cadre,Procédure adaptée,Accord-cadre,Appel d'offres ouvert,Appel d'offres ouvert,appel d'offres ouvert,ACCORD-CADRE
Régime,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun,droit_commun
Durée,24 mois ferme + 2 reconductions tacites de 12 mois = 48 mois maximum,4 ans maximum,1 an ferme + 3 reconductions tacites de 1 an = 48 mois maximum,2 ans initiale + 2 reconductions d'1 an = 4 ans maximum,Offre de base : 1 an reconductible 3 fois (4 ans max). Variante exigee : 48 mois ferme.,"Duree non explicitement mentionnee. Dates estimees : notification fin juillet 2026, debut octobre 2026/janvier 2027, fin octobre 2030/janvier 2031.",non précisé,48 mois ferme + 4 reconductions expresses d'1 an = 8 ans maximum,Tranche ferme 2 ans (16/08/2026 - 16/08/2028) + 3 tranches optionnelles jusqu'au 16/08/2030,1 an reconductible 3 fois (4 ans maximum),non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
Estim.,"400 000,00€HT","900 000,00€HT",non précisé,non précisé,non précisé,non précisé,non précisé,"16 670 000,00€HT",non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
Max.,"1 200 000,00€HT (plafond)","900 000,00€HT (plafond)",non précisé,"2 000 000,00€HT (plafond)",non précisé,non précisé,non précisé,"51 000 000,00€HT (plafond)",non précisé,"5 000 000,00€HT (plafond)",non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
Allot.,Non alloti,Alloti,Non alloti,Alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti,Non alloti
Critères,Prix 45% | Qualite technique de l'offre 45% | Environnemental 10%,non précisé,Couts 40% | Comprehension du contexte et d 25% | Competences et experiences des 25% | Demarche environnementale et s 10%,non précisé,Valeur technique de l'offre 60% | Valeur financière de l'offre 40%,Critere technique et methodolo 60 points | Critere prix 30 points | Critere social et environnemen 10 points,non précisé,Références et capacités techni à définir | Engagements RSE à définir | Prix à définir,Prix 50% | Méthodologie d'exécution 30% | Organisation et moyens humains 20%,Valeur technique 60% | Prix 40%,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé
