file,field,status,legacy,v2
13joue002671162026-2026-mise-disposition-gestion.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002671162026-2026-mise-disposition-gestion.html,status,diff,1,2
13joue002671162026-2026-mise-disposition-gestion.html,reference,match,13/joue/002671162026,13/joue/002671162026
13joue002671162026-2026-mise-disposition-gestion.html,title,match,Mise à disposition et gestion du workplace IT,Mise à disposition et gestion du workplace IT
13joue002671162026-2026-mise-disposition-gestion.html,buyer,only_legacy,RESA Innovation et Technologie SA en son nom et pour compte de RESA SA Intercommunale,
13joue002671162026-2026-mise-disposition-gestion.html,cpv,both_empty,[],[]
13joue002671162026-2026-mise-disposition-gestion.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/267116-2026
13joue002671162026-2026-mise-disposition-gestion.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002671162026-2026-mise-disposition-gestion.html,procedure_type,only_v2,,Négociée avec publication préalable d’un appel à la concurrence / concurrentielle avec négociation
13joue002671162026-2026-mise-disposition-gestion.html,contract_nature,only_v2,,Services
13joue002671162026-2026-mise-disposition-gestion.html,date_limite,both_empty,,
13joue002671162026-2026-mise-disposition-gestion.html,duree_mois,both_empty,,
13joue002671162026-2026-mise-disposition-gestion.html,estimation_eur,only_v2,,171.0
13joue002708922026-2026-fourniture-prestation-service.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002708922026-2026-fourniture-prestation-service.html,status,diff,1,2
13joue002708922026-2026-fourniture-prestation-service.html,reference,match,13/joue/002708922026,13/joue/002708922026
13joue002708922026-2026-fourniture-prestation-service.html,title,diff,"Fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés.","fourniture d'une prestation de service relative à la gestion des activités de data management et la gestion des activités de biostatistiques à visée d'enregistrements auprès des autorités réglementaires au format ADAM des études cliniques pour UNICANCER RetD, les CLCC et les Etablissement affiliés"
13joue002708922026-2026-fourniture-prestation-service.html,buyer,only_legacy,UNICANCER ACHATS,
13joue002708922026-2026-fourniture-prestation-service.html,cpv,both_empty,[],[]
13joue002708922026-2026-fourniture-prestation-service.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/270892-2026
13joue002708922026-2026-fourniture-prestation-service.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002708922026-2026-fourniture-prestation-service.html,procedure_type,only_v2,,Ouverte
13joue002708922026-2026-fourniture-prestation-service.html,contract_nature,only_v2,,Services
13joue002708922026-2026-fourniture-prestation-service.html,date_limite,only_v2,,2026-05-18T00:00:00
13joue002708922026-2026-fourniture-prestation-service.html,duree_mois,both_empty,,
13joue002708922026-2026-fourniture-prestation-service.html,estimation_eur,only_v2,,171.0
13joue002845752026-2026-marche-prestations-maintenance.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002845752026-2026-marche-prestations-maintenance.html,status,diff,1,2
13joue002845752026-2026-marche-prestations-maintenance.html,reference,match,13/joue/002845752026,13/joue/002845752026
13joue002845752026-2026-marche-prestations-maintenance.html,title,diff,"MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV.","MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ET D'INFOGERANCE DU PARC INFORMATIQUE, RESEAU ET TELECOM DE L'EPPGHV"
13joue002845752026-2026-marche-prestations-maintenance.html,buyer,only_legacy,EPPGHV,
13joue002845752026-2026-marche-prestations-maintenance.html,cpv,both_empty,[],[]
13joue002845752026-2026-marche-prestations-maintenance.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/284575-2026
13joue002845752026-2026-marche-prestations-maintenance.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002845752026-2026-marche-prestations-maintenance.html,procedure_type,only_v2,,Ouverte
13joue002845752026-2026-marche-prestations-maintenance.html,contract_nature,only_v2,,Services
13joue002845752026-2026-marche-prestations-maintenance.html,date_limite,only_v2,,2026-06-01T00:00:00
13joue002845752026-2026-marche-prestations-maintenance.html,duree_mois,both_empty,,
13joue002845752026-2026-marche-prestations-maintenance.html,estimation_eur,only_v2,,171.0
13joue002850982026-2026-accord-cadre-bons.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002850982026-2026-accord-cadre-bons.html,status,diff,1,2
13joue002850982026-2026-accord-cadre-bons.html,reference,match,13/joue/002850982026,13/joue/002850982026
13joue002850982026-2026-accord-cadre-bons.html,title,match,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,Accord-cadre à bons de commande pour le maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP
13joue002850982026-2026-accord-cadre-bons.html,buyer,only_legacy,VILLE de PARIS - DFA - SDA,
13joue002850982026-2026-accord-cadre-bons.html,cpv,both_empty,[],[]
13joue002850982026-2026-accord-cadre-bons.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/285098-2026
13joue002850982026-2026-accord-cadre-bons.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002850982026-2026-accord-cadre-bons.html,procedure_type,only_v2,,Ouverte
13joue002850982026-2026-accord-cadre-bons.html,contract_nature,only_v2,,Services
13joue002850982026-2026-accord-cadre-bons.html,date_limite,only_v2,,2026-06-09T00:00:00
13joue002850982026-2026-accord-cadre-bons.html,duree_mois,both_empty,,
13joue002850982026-2026-accord-cadre-bons.html,estimation_eur,only_v2,,171.0
13joue002925532026-2026-marche-public-relatif.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002925532026-2026-marche-public-relatif.html,status,diff,1,2
13joue002925532026-2026-marche-public-relatif.html,reference,match,13/joue/002925532026,13/joue/002925532026
13joue002925532026-2026-marche-public-relatif.html,title,diff,"Marché public relatif à la mise à disposition d'un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes","Marché public relatif à la mise à disposition d’un système ERP intégré portant sur la gestion financière, les ressources humaines et les composants annexes"
13joue002925532026-2026-marche-public-relatif.html,buyer,only_legacy,Parlement Wallon,
13joue002925532026-2026-marche-public-relatif.html,cpv,both_empty,[],[]
13joue002925532026-2026-marche-public-relatif.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/292553-2026
13joue002925532026-2026-marche-public-relatif.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002925532026-2026-marche-public-relatif.html,procedure_type,only_v2,,Ouverte
13joue002925532026-2026-marche-public-relatif.html,contract_nature,only_v2,,Services
13joue002925532026-2026-marche-public-relatif.html,date_limite,only_v2,,2026-06-08T00:00:00
13joue002925532026-2026-marche-public-relatif.html,duree_mois,both_empty,,
13joue002925532026-2026-marche-public-relatif.html,estimation_eur,only_v2,,171.0
13joue002929142026-2026-accompagnement-convergence-systemes.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002929142026-2026-accompagnement-convergence-systemes.html,status,diff,1,2
13joue002929142026-2026-accompagnement-convergence-systemes.html,reference,match,13/joue/002929142026,13/joue/002929142026
13joue002929142026-2026-accompagnement-convergence-systemes.html,title,diff,Accompagnement à la convergence des systèmes d'information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris,Accompagnement à la convergence des systèmes d’information de scolarité du Conservatoire national des arts et métiers – Cnam - Paris
13joue002929142026-2026-accompagnement-convergence-systemes.html,buyer,only_legacy,Conservatoire national des arts et métiers -Cnam,
13joue002929142026-2026-accompagnement-convergence-systemes.html,cpv,both_empty,[],[]
13joue002929142026-2026-accompagnement-convergence-systemes.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/292914-2026
13joue002929142026-2026-accompagnement-convergence-systemes.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002929142026-2026-accompagnement-convergence-systemes.html,procedure_type,only_v2,,Négociée avec publication préalable d’un appel à la concurrence / concurrentielle avec négociation
13joue002929142026-2026-accompagnement-convergence-systemes.html,contract_nature,only_v2,,Services
13joue002929142026-2026-accompagnement-convergence-systemes.html,date_limite,both_empty,,
13joue002929142026-2026-accompagnement-convergence-systemes.html,duree_mois,both_empty,,
13joue002929142026-2026-accompagnement-convergence-systemes.html,estimation_eur,only_v2,,171.0
13joue002939872026-2026-marche-pour-maintenance.html,source_type,diff,FRANCE_MARCHES,BOAMP_XML
13joue002939872026-2026-marche-pour-maintenance.html,status,diff,1,2
13joue002939872026-2026-marche-pour-maintenance.html,reference,match,13/joue/002939872026,13/joue/002939872026
13joue002939872026-2026-marche-pour-maintenance.html,title,match,"Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement","Marché pour la maintenance applicative, corrective et évolutive du site internet Culturethèque (et toutes ses fonctionnalités) et pour l'hébergement"
13joue002939872026-2026-marche-pour-maintenance.html,buyer,only_legacy,Institut Français,
13joue002939872026-2026-marche-pour-maintenance.html,cpv,both_empty,[],[]
13joue002939872026-2026-marche-pour-maintenance.html,url_source,only_v2,,https://ted.europa.eu/fr/notice/-/detail/293987-2026
13joue002939872026-2026-marche-pour-maintenance.html,location,only_v2,,officiels de l’organisme acheteur public
13joue002939872026-2026-marche-pour-maintenance.html,procedure_type,only_v2,,Ouverte
13joue002939872026-2026-marche-pour-maintenance.html,contract_nature,only_v2,,Services
